subject_id,Second,Fz,Mx,My,CoPx,CoPy
1,0,733.49178035,60.47793415,-6.7563451720000005,0.00921117,0.08245182599999999
1,1,733.46020016,56.560603900000004,-7.751690552,0.010568727000000002,0.07711429
1,2,733.56123398,57.36512541,-9.66833629,0.013179969,0.07820089699999999
1,3,733.50801784,57.91571784,-9.051006271,0.012339164,0.078956963
1,4,733.55738403,57.75324427,-6.1197504799999995,0.008342732,0.078730548
1,5,733.54864748,57.13893883,-6.46064025,0.008807181999999998,0.077893867
1,6,733.4564989200001,55.82235594,-8.54281486,0.011647328,0.07610862
1,7,733.54819207,55.13083316,-8.990913339999999,0.012256745000000001,0.075156275
1,8,733.51938093,57.139333,-8.48480329,0.011567214,0.07789753199999999
1,9,733.47177576,57.075960789999996,-8.438993739999999,0.011505561999999999,0.077816063
1,10,733.46840317,56.79585315,-9.39608932,0.012810436,0.077434664
1,11,733.63029518,54.59189626,-10.808960789999999,0.014733464,0.07441332099999999
1,12,733.50731776,54.427407995,-12.48801388,0.01702526,0.074201164
1,13,733.5061753800001,52.37759514,-11.984531209999998,0.016338735,0.071407128
1,14,733.45195918,51.169595163,-10.98411762,0.014975925999999999,0.06976544900000001
1,15,733.54485803,52.744963180999996,-9.4207329,0.012842781000000001,0.071903912
1,16,733.50324493,53.087077166,-10.42811172,0.014216816,0.072374717
1,17,733.45673549,53.988287721,-10.368947200000001,0.014137153,0.07360744699999999
1,18,733.5653737599999,52.793893896,-10.70457298,0.014592522,0.071968847
1,19,733.61829518,52.776161376999994,-12.1290468,0.016533009,0.071939644
1,20,733.49701678,52.16861202,-16.845982929999998,0.022966524,0.071122952
1,21,733.4915665,51.004044948,-12.84525556,0.017512756,0.069535702
1,22,733.54915939,51.470386315000006,-10.77063131,0.014683007999999999,0.070166188
1,23,733.49849213,51.16083904,-11.28434145,0.015384276,0.069749055
1,24,733.49418226,51.810962186999994,-11.58919945,0.015799896,0.07063564700000001
1,25,733.47553475,50.95536935,-12.907276540000002,0.017597508,0.069471068
1,26,733.45176047,52.702014385000005,-13.21888253,0.018022888,0.07185470499999999
1,27,733.56565785,53.731965839,-12.26329099,0.016717347,0.073247585
1,28,733.5491236400001,53.576512512,-10.86553361,0.014812246,0.073037378
1,29,733.49634631,54.46093903,-8.73407016,0.011907365999999999,0.07424836600000001
1,30,733.54262547,55.152456879999995,-8.77371701,0.011960748,0.07518635600000001
1,31,733.48329013,52.310504635,-9.15463821,0.012481049000000001,0.071317739
1,32,733.52010011,53.118058024999996,-9.05764209,0.012348185000000001,0.072414757
1,33,733.55695352,55.44597357,-9.88385461,0.013473689,0.07558517399999999
1,34,733.5496643900001,53.670268913,-10.305856250000001,0.014049346,0.073165057
1,35,733.43601333,53.461619089,-9.864126910000001,0.013449210000000001,0.072891922
1,36,733.6623164800001,56.31916426,-10.260960789999999,0.013985884,0.076764252
1,37,733.58762091,56.34022043,-9.787273579999999,0.013341703,0.07680095799999999
1,38,733.50304806,57.08136450000001,-9.49198151,0.012940627,0.077820612
1,39,733.63172959,59.77502826,-10.315832151,0.01406138,0.08147824699999999
1,40,733.58689555,57.41098701,-9.69546605,0.013216439,0.07826043
1,41,733.59043784,56.66053238,-9.77731712,0.013328078,0.077237265
1,42,733.53721132,60.195989690000005,-10.316957823000001,0.014064635,0.08206279100000001
1,43,733.68348701,63.39222933,-9.817058,0.013380242,0.08640355
1,44,733.6142132,58.882794249999996,-8.319390354,0.011340294999999999,0.080263683
1,45,733.43450466,57.67943096,-6.79362964,0.009262816,0.07864268099999999
1,46,733.54767009,57.93596806,-4.60703229,0.006280558,0.078980395
1,47,733.54970714,57.12488613,-3.91908911,0.005342601,0.077874621
1,48,733.51117578,57.75344116,-7.080819470000001,0.009653368,0.078735647
1,49,733.58345159,61.52917901,-8.909984573,0.01214583,0.083874755
1,50,733.65559907,62.71070383,-9.81514562,0.01337837,0.085476961
1,51,733.53282073,59.14678744,-7.379774545,0.01006054,0.080632695
1,52,733.54050048,56.316355949999995,-3.92805358,0.005354942999999999,0.07677318200000001
1,53,733.45536354,58.40978606,-4.33927915,0.0059160260000000004,0.079636444
1,54,733.5303243,59.21507733,-5.7082739600000005,0.007781888000000001,0.080726125
1,55,733.51249387,62.768889179999995,-8.37934636,0.011423527999999999,0.085572919
1,56,733.54230202,59.01158655,-12.728581638,0.0173523,0.080447164
1,57,733.54572176,58.717182439999995,-8.530431311000001,0.011628712999999999,0.08004599899999999
1,58,733.4770465600001,60.67704813,-3.12779924,0.004264171,0.082725284
1,59,733.5385566868687,56.7716402020202,-4.882964353535354,0.0066568060606060605,0.07739414545454545
2,0,966.43401648,33.360016210000005,16.521695360000002,-0.017095555999999998,0.034518658
2,1,966.31628594,31.22440195,19.09323207,-0.019758816,0.032312775
2,2,966.29398682,27.97897609,19.391214360000003,-0.020067477,0.028954567
2,3,966.54159588,27.38660546,17.44194427,-0.018034673,0.028322436
2,4,965.8301743100001,18.56800124,18.43462056,-0.019086383999999998,0.019224993000000003
2,5,966.743197377,21.66900472,20.47753033,-0.021195162,0.022325368999999998
2,6,965.8419536399999,31.20302864,19.67216448,-0.020367778,0.032305484999999995
2,7,966.22680122,30.35728821,17.72516306,-0.018345147,0.031418233000000004
2,8,966.30828788,31.493279610000002,16.42917939,-0.017002019,0.032591483
2,9,966.4116313999999,31.22240834,17.68322238,-0.018297841,0.032307662
2,10,966.25877882,28.53541875,17.265244579999997,-0.01786813,0.029531859999999997
2,11,966.31223763,29.84092415,17.75620194,-0.018375203,0.030881294
