subject_id,Second,Fz,Mx,My,CoPx,CoPy
1,0,734.27128737,57.82635426,-10.471317024,0.014260709,0.07875341899999999
1,1,734.3021374399999,56.3718597,-11.15091098,0.015185800000000001,0.076769195
1,2,734.24684011,58.970275199999996,-10.684677084,0.014551871000000001,0.08031376500000001
1,3,734.32435747,57.752927389999996,-11.978895625,0.016312807,0.0786477
1,4,734.2951073199999,58.322355210000005,-11.919758936000001,0.016232887999999997,0.079426316
1,5,734.3589709299999,59.48402564,-12.063101799,0.016426779,0.081001167
1,6,734.17882846,57.59468647,-12.83736197,0.017485589,0.07844734099999999
1,7,734.3998038,56.51512845,-12.02887417,0.016378965000000002,0.076954322
1,8,734.3262158800001,57.89098224,-12.886754693,0.017549158,0.078835367
1,9,734.29124573,57.560863770000005,-14.769650812,0.020114093,0.078389555
1,10,734.3446225900001,57.68982827,-14.217067742,0.019360165,0.078559517
1,11,734.19972568,57.254218359999996,-14.408676111,0.019624874,0.07798171000000001
1,12,734.28973938,56.88639995,-13.832913959999999,0.01883831,0.07747137700000001
1,13,734.30061227,57.71684687,-14.860069947,0.020236964,0.07860075000000001
1,14,734.21520631,57.41555134,-14.420875835999999,0.019641416,0.078199246
1,15,734.26470768,56.37466305,-13.94146398,0.018986947,0.07677706200000001
1,16,734.31878512,57.603393669999996,-14.835373803,0.020202914,0.078444709
1,17,734.17132338,57.24842796,-14.099771006000001,0.019205002,0.077976864
1,18,734.3311382300001,58.96406863,-13.957985822000001,0.019007797,0.080296126
1,19,734.23983084,54.804157427999996,-14.86442432,0.020244624000000003,0.074640532
1,20,734.12881753,54.126629058999995,-14.981351140000001,0.020406935,0.07372913
1,21,734.31981974,55.240713320000005,-15.04699445,0.020491118,0.075227042
1,22,734.22253559,56.117772756,-15.452243983,0.021045718,0.076431441
1,23,734.2328939199999,55.33000923,-14.611296046,0.019900246,0.075357544
1,24,734.24618917,55.977625394,-16.268241618,0.022156261,0.076237815
1,25,734.17969532,54.959166925999995,-15.53197794,0.021155537,0.0748579
1,26,734.3021536299999,55.691158351999995,-16.08617065,0.02190668,0.075842346
1,27,734.1831677399999,54.250350968999996,-16.226967350000002,0.022102076000000002,0.073891869
1,28,734.08750471,53.01950063,-15.63513822,0.021298742000000002,0.072225046
1,29,734.20916022,54.197861791,-16.26761334,0.022156745999999998,0.073817884
1,30,734.16665416,53.051753299999994,-16.591254990000003,0.022598792,0.072261218
1,31,734.2424052900001,56.224658582,-15.978924304,0.021762543000000002,0.076574759
1,32,734.22437402,55.066574538,-15.99342474,0.021782741,0.07499961000000001
1,33,734.05612328,54.972597865000004,-16.395096577,0.022334868,0.074888761
1,34,734.26525596,55.073070402,-15.91404442,0.021673434000000002,0.07500415099999999
1,35,734.2009854099999,55.607046184,-15.897089996,0.021652294000000002,0.075737949
1,36,734.15537248,54.623157443000004,-15.865393915,0.021610855999999998,0.07440182799999999
1,37,734.09215281,52.72094309,-14.05843629,0.019150808999999998,0.071817886
1,38,734.1220631699999,54.348133277,-16.00960492,0.021807613,0.074031571
1,39,734.22567744,56.800873947,-14.659195711,0.019965462,0.077361637
1,40,734.19478467,54.158001032,-14.945002800000001,0.020355602,0.073764964
1,41,734.12264899,55.626569408,-14.925888229,0.020331627999999997,0.07577261
1,42,734.1370786,54.540540183,-15.89151251,0.021646468999999998,0.074291941
1,43,734.15123938,54.387293830000004,-15.591488380000001,0.021237299,0.074081539
1,44,734.12650164,55.36228728,-15.16383038,0.020655678,0.075412196
1,45,734.1873204899999,54.961069289,-15.74515457,0.021445654999999997,0.074859823
1,46,734.0308973,53.543449214,-15.74427799,0.021449106,0.072944361
1,47,734.16845577,55.975212617,-15.52090921,0.021140797,0.076242988
1,48,734.2103164399999,57.24066141,-15.5054903,0.021118707,0.077962064
1,49,734.20416028,56.370481344,-16.531867968,0.022516765,0.076777389
1,50,734.12646834,56.340449377,-15.464213411000001,0.021065022,0.076744726
1,51,734.160783,56.907610502000004,-15.843543823,0.021580576,0.077513042
1,52,734.1250611199999,56.004163697,-18.086819187,0.024637121,0.07628686
1,53,734.1896088799999,57.73305834000001,-15.003993231,0.020436054,0.078635146
1,54,734.17293057,58.57584426,-15.211174256,0.020718936,0.07978451099999999
1,55,734.16920265,57.03062999,-16.684590329,0.022725823,0.077680474
1,56,734.25007317,57.39262917,-15.909288191,0.021667401000000003,0.078164947
1,57,734.16459296,57.93652173,-14.420465415,0.019642005,0.07891469999999999
1,58,734.06434155,57.88382333,-16.196523723,0.022064162,0.078853971
1,59,734.30395771,59.794347439999996,-15.275588728,0.020802782,0.081430001
2,0,958.73102199,-13.66493577,3.7069010899999997,-0.00386645,-0.014253021999999999
2,1,958.59154156,-14.06512637,3.54010679,-0.0036930170000000003,-0.014672840000000001
2,2,958.60908619,-11.367039199999999,3.33961268,-0.00348381,-0.011857957
2,3,958.54798727,-10.75113927,2.58682826,-0.002698702,-0.011216354000000001
2,4,958.6213608500001,-12.44898041,2.9557238200000002,-0.003083286,-0.012986373
2,5,958.70303094,-9.843997929999999,2.71457468,-0.002831516,-0.010267893
2,6,958.5419640499999,-10.642237150000001,2.89810275,-0.0030234299999999997,-0.011102501
2,7,958.5160374999999,-11.41098755,2.57178029,-0.002683066,-0.011904702999999999
2,8,958.6125231899999,-9.30771263,2.4299094599999997,-0.002534817,-0.009709624
2,9,958.63010073,-12.05166251,2.41283293,-0.002516964,-0.012571708
2,10,958.52392853,-10.87459599,3.0592720599999996,-0.003191691,-0.011345367
2,11,958.6040664770001,-7.69026687,1.90558643,-0.001987888,-0.008022449
