subject_id,Second,Fz,Mx,My,CoPx,CoPy
1,0,733.55401363,57.46211203,-7.27795402,0.009921526,0.078333666
1,1,733.71756303,60.02946731,-7.5431854970000005,0.010280728999999999,0.081815536
1,2,733.70306149,58.86532698,-7.49411212,0.010214135000000001,0.080230257
1,3,733.66955577,60.56643388,-8.748949543,0.011924945,0.082552997
1,4,733.66854963,59.57707484,-8.797716803,0.011991402,0.081204218
1,5,733.72045351,59.50032384,-8.549968380000001,0.011652905,0.081093997
1,6,733.58396654,61.84993327,-8.007210772,0.010915184,0.08431184
1,7,733.7053824200001,59.21148923,-8.283353692,0.011289719,0.080701598
1,8,733.6436416700001,59.63856577,-6.661009987000001,0.009079352,0.081291031
1,9,733.72212649,61.496130879999995,-7.617241846,0.010381734,0.083813972
1,10,733.6318649799999,58.79726069,-7.13328787,0.009723248,0.080145541
1,11,733.6091410600001,59.94121029,-7.792509291,0.010622161,0.081707352
1,12,733.74561677,63.125860679999995,-7.64663849,0.010421386999999999,0.086032231
1,13,733.72824982,61.85979807,-7.327421789,0.009986584,0.084308904
1,14,733.6614333699999,60.14252586,-7.930310195,0.010809233000000001,0.08197570500000001
1,15,733.6534913,60.837602919999995,-8.272206007000001,0.011275383,0.082924128
1,16,733.7031012499999,59.935619120000005,-8.075805267,0.011006951000000001,0.081689156
1,17,733.60093221,57.92671132,-9.976795881,0.013599742,0.078962209
1,18,733.68667435,57.16880616,-12.06170509,0.016439937,0.077919856
1,19,733.67740036,58.34534171,-10.446738293000001,0.014238862,0.079524629
1,20,733.6166102899999,57.61214339,-10.852984580000001,0.014793925,0.078531262
1,21,733.61029903,56.94862169,-10.2048993,0.013910442,0.077627614
1,22,733.62313496,58.13417131,-10.426617178,0.014212563,0.079242249
1,23,733.7387852,60.307220179999995,-11.018663844,0.015017136,0.082191581
1,24,733.6705827999999,59.31351877,-11.08053832,0.015102923,0.080844613
1,25,733.61889046,55.36714894,-12.240339879999999,0.016684850999999997,0.075471295
1,26,733.77696422,57.03933286,-12.39344815,0.016890017,0.077733725
1,27,733.63086792,57.24885086,-11.25632605,0.015343332999999999,0.078034945
1,28,733.68191926,56.67089352,-11.77347241,0.016047113,0.077241842
1,29,733.6483464300001,53.712303347,-12.56813266,0.017130962,0.07321254
1,30,733.5703288,55.668877050000006,-12.54275617,0.017098243,0.075887463
1,31,733.67556603,56.9694759,-12.465556493,0.016990587,0.077649343
1,32,733.7245800100001,54.93400404,-13.21771451,0.018014532,0.074870065
1,33,733.62409786,55.42832525,-13.2276146,0.018030526999999998,0.07555419399999999
1,34,733.64966165,55.76952323,-12.613926670000001,0.017193369,0.076016444
1,35,733.6826534100001,56.305202998,-12.30781688,0.016775342,0.07674326399999999
1,36,733.81699791,52.810424235,-12.82422975,0.017475923,0.071966594
1,37,733.4788059900001,53.915177549,-13.23616421,0.018045712999999998,0.073505837
1,38,733.6785247900001,53.585123568,-12.2740803,0.016729386000000002,0.073036068
1,39,733.58380165,57.70049882,-9.291742839000001,0.012666397,0.078655133
1,40,733.65235556,58.018654139999995,-9.553851988,0.013022302,0.079081907
1,41,733.7355998400001,57.08972002,-11.062977360000001,0.015077678,0.077806713
1,42,733.67558173,57.2849227,-11.53158814,0.015717544,0.078079365
1,43,733.6466880400001,58.373136720000005,-10.695043298,0.01457798,0.079565529
1,44,733.71624118,58.08189478,-10.67474101,0.014548907,0.07916114299999999
1,45,733.7219992299999,58.81018314,-11.182536663,0.015240904000000001,0.080153272
1,46,733.63581202,59.41286332,-11.457992549,0.015618114,0.080984212
1,47,733.75006292,57.54469135,-11.09038726,0.01511456,0.078425264
1,48,733.6127759999999,58.91324177,-10.559239161999999,0.014393439000000001,0.080305553
1,49,733.71638315,58.406418980000005,-11.994694574999999,0.016347835,0.079603445
1,50,733.65403836,59.30377094,-11.715516491,0.015968765,0.08083343700000001
1,51,733.6931105,61.92111393,-12.50103869,0.017038249000000002,0.084396744
1,52,733.74214471,59.209851900000004,-11.625372767,0.01584384,0.080695664
1,53,733.65846005,58.82183038,-5.9244945399999995,0.008075217,0.080175803
1,54,733.6940697,63.12891115,-8.416648931,0.011471404,0.086042247
1,55,733.65776526,60.314322999999995,-8.445537256,0.011511504,0.082210493
1,56,733.6782344899999,61.95830986,-8.221298984999999,0.011205511,0.084448977
1,57,733.7336189,60.835250249999994,-9.032872595999999,0.012310890000000001,0.082911789
1,58,733.69407213,61.430971,-8.966101747,0.012220535999999999,0.083728064
1,59,733.69634839,63.287004589999995,-10.01853745,0.013654667,0.086257783
2,0,958.18593068,13.170832749999999,9.99172389,-0.010427693,0.013745526
2,1,957.98627342,11.28132317,8.94579179,-0.009338214000000001,0.011776023
2,2,958.1561207100001,8.422711569999999,9.18586833,-0.009587031,0.008790436
2,3,958.0684542399999,8.83928952,9.97345527,-0.010409915,0.009226055
2,4,958.10063287,7.86956199,8.53185309,-0.008904968000000001,0.008213614
2,5,958.03245705,8.70835735,8.86830722,-0.009256700999999999,0.009089502
2,6,958.07323297,8.77822121,7.91771324,-0.008264258,0.009162374
2,7,958.1914621699999,8.28646579,8.4967282,-0.008867452999999999,0.008648029
2,8,957.94651646,9.465262039999999,9.26911924,-0.009675974,0.009880429
2,9,958.04467673,6.637542389999999,7.8826142,-0.0082278,0.006928218
2,10,958.11612923,6.847317589999999,10.63973935,-0.011104787,0.007146507
2,11,957.89942273,6.25788747,9.35077849,-0.0097617,0.006533062
2,12,958.19596819,7.41172967,9.4745874,-0.009887929,0.007734445
